meta_ressort_slug,resort,cat,resort_group
auto,auto,auto,auto
bauen-wohnen,bauen_wohnen,freizeit,freizeit
burgenland,burgenland,oesterreich,nachrichten
digital,digital,digital_medien,digital_medien
digitale-trends,digitale_trends,digital_medien,digital_medien
eishockey,eishockey,sport,sport
elektronik,elektronik,digital_medien,digital_medien
fussball-international,fussball_international,sport,sport
fussball-national,fussball_national,sport,sport
gesund-fit,gesund_fit,freizeit,freizeit
kaernten,kaernten,oesterreich,nachrichten
karrierepool,karrierepool,digital_medien,digital_medien
kino,kino,stars_society,stars_society
lieblingsrezept,lieblingsrezept,freizeit,freizeit
life,life,freizeit,freizeit
lifestyle,lifestyle,stars_society,stars_society
medien,medien,digital_medien,digital_medien
motorsport,motorsport,sport,sport
musik,musik,stars_society,stars_society
nachrichten,nachrichten,nachrichten,nachrichten
niederoesterreich,niederoesterreich,oesterreich,nachrichten
oberoesterreich,oberoesterreich,oesterreich,nachrichten
oesterreich,oesterreich,oesterreich,nachrichten
ombudsfrau,ombudsfrau,freizeit,freizeit
reisen-urlaub,reisen_urlaub,freizeit,freizeit
salzburg,salzburg,oesterreich,nachrichten
spiele,spiele,digital_medien,digital_medien
sport,sport,sport,sport
sport-mix,sport_mix,sport,sport
stars-society,stars_society,stars_society,stars_society
steiermark,steiermark,oesterreich,nachrichten
stiegenhaus,stiegenhaus,freizeit,freizeit
tennis,tennis,sport,sport
tierecke,tierecke,freizeit,freizeit
tirol,tirol,oesterreich,nachrichten
video-adabei-tv,video_adabei_tv,digital_medien,digital_medien
video-brennpunkt,video_brennpunkt,digital_medien,digital_medien
video-digital,video_digital,digital_medien,digital_medien
video-fussball,video_fussball,digital_medien,digital_medien
video-lifestyle,video_lifestyle,digital_medien,digital_medien
video-musik,video_musik,digital_medien,digital_medien
video-nachrichten,video_nachrichten,digital_medien,digital_medien
video-reisen,video_reisen,digital_medien,digital_medien
video-sport,video_sport,digital_medien,digital_medien
video-sport-mix,video_sport_mix,digital_medien,digital_medien
video-wintersport,video_wintersport,digital_medien,digital_medien
viral,viral,digital_medien,digital_medien
web,web,digital_medien,digital_medien
welt,welt,welt,nachrichten
wien,wien,oesterreich,nachrichten
wintersport,wintersport,sport,sport
wirtschaft,wirtschaft,wirtschaft,nachrichten
wissen,wissen,wissen,nachrichten
